contentId,tokens,unique_tokens,average_token_length,n_non_stop_unique_tokens,global_subjectivity,avg_positive_polarity,global_sentiment_polarity
-6451309518266745024,1031.0,460.0,5.0,0.6572379367720466,0.44273479116937053,0.3491624477217698,0.15019682809402432
-4110354420726924665,1031.0,460.0,5.0,0.6572379367720466,0.44273479116937053,0.3491624477217698,0.15019682809402432
-7292285110016212249,298.0,194.0,5.070469798657718,0.8118811881188119,0.4790322580645161,0.4484444444444444,0.17231182795698924
-6151852268067518688,262.0,149.0,4.564885496183206,0.7088607594936709,0.521,0.5729166666666666,0.23350000000000004
2448026894306402386,1324.0,503.0,4.717522658610272,0.5718157181571816,0.4717318139376961,0.320575258075258,0.06964816229522112
-2826566343807132236,265.0,157.0,5.316981132075472,0.779874213836478,0.38166666666666677,0.41250000000000003,0.08833333333333333
-2148899391355011268,681.0,297.0,4.938325991189427,0.6220472440944882,0.4885990698490697,0.34592397186147184,0.143493330993331
4119190424078847945,716.0,372.0,4.88268156424581,0.6968325791855203,0.4055606060606061,0.39001523168189833,0.08134992784992785
-7926018713416777892,1646.0,622.0,5.123936816524909,0.5665280665280665,0.36562098820719513,0.31753829503829506,0.10869532766084487
3353902017498793780,760.0,379.0,5.217105263157895,0.6791666666666667,0.40442092717409167,0.2856404706404706,0.12466217326976817
-9157338616628196758,829.0,407.0,5.007237635705669,0.5242463958060288,0.15000000000000002,0.2,0.1
1805789466376069146,1788.0,511.0,4.957494407158837,0.37755102040816324,0.3918466699394534,0.36184210526315785,0.1270495827196858
-2081760549863309770,3534.0,690.0,5.023203169213356,0.26487190620929224,0.43102517990577716,0.3848223615464995,0.10016476061252179
-5170198873410718233,251.0,142.0,4.645418326693227,0.675,0.4096876503126503,0.30308441558441557,0.05675054112554112
-3367778232969996503,2105.0,867.0,4.810451306413301,0.6366612111292962,0.46675944183797574,0.3931369109817386,0.09568548234778597
4988225165850707692,891.0,417.0,5.2727272727272725,0.657243816254417,0.48563931237844293,0.3528622159090909,0.13203823953823954
-5917314377186856799,395.0,217.0,5.815189873417721,0.5620052770448549,1.0,0.0,-0.17
6157037646878010131,2447.0,1016.0,5.662852472415202,0.4425287356321839,0.24439393939393933,0.21792929292929294,0.10119318181818182
6023609667389715259,768.0,428.0,5.108072916666667,0.7796257796257796,0.44910759379509385,0.2908311688311688,0.1599986471861472
7905485530310717815,172.0,116.0,5.761627906976744,0.8103448275862069,0.3443506493506494,0.20287288469106654,0.12266233766233764
8194079557551008273,595.0,315.0,4.966386554621849,0.747093023255814,0.5043365990734412,0.43336038961038964,0.122574744943166
-1672166631728511207,672.0,339.0,5.255952380952381,0.5511551155115512,0.3727272727272727,0.5333333333333333,0.13636363636363635
-4374331682165863764,936.0,501.0,5.173076923076923,0.7469670710571924,0.4730367050789585,0.3005254613807246,0.13373193707700753
5714314286511882372,107.0,61.0,5.4953271028037385,0.57,0.0,0.0,0.0
-8141818108252244664,286.0,188.0,5.22027972027972,0.6976744186046512,1.0,0.0,-0.8
-8939172344092554931,532.0,297.0,4.93984962406015,0.7547770700636943,0.5653502929818719,0.3935773996118824,0.10722493880388614
-1591454024897803197,866.0,450.0,5.162817551963048,0.7091932457786116,0.5346062649471741,0.393459903917221,0.19526982487209762
-6874540813378776198,272.0,152.0,4.977941176470588,0.70625,0.6448148148148148,0.6428571428571429,0.24407407407407405
-3173020603774823976,252.0,153.0,5.329365079365079,0.8076923076923077,0.4233771929824561,0.4011805555555555,0.22421052631578947
-9107331682787867601,746.0,359.0,4.663538873994638,0.6644444444444444,0.36056620798556277,0.3987987012987013,0.1931659335288368
-1021685224930603833,119.0,86.0,5.571428571428571,0.7454545454545455,0.0,0.0,0.0
1392715980907132808,577.0,288.0,5.022530329289428,0.7142857142857143,0.45940740740740743,0.3030952380952381,0.05114814814814815
-6142462826726347616,571.0,303.0,5.509632224168126,0.7110481586402266,0.4030003092145949,0.3438292011019284,0.13522866419294996
2255603060224026824,169.0,119.0,5.21301775147929,0.8269230769230769,0.3365740740740741,0.4166666666666667,0.047453703703703706
3037840448416371691,1396.0,598.0,5.035816618911174,0.6225728155339806,0.5429448156010658,0.36582218286763746,0.12770802114552118
7767869406844505704,378.0,206.0,4.783068783068783,0.695067264573991,0.3824354657687991,0.3729020979020979,0.16010101010101008
-7202774608580336956,432.0,214.0,5.016203703703703,0.6159420289855072,0.42068686868686866,0.3006244260789715,0.2204579124579124
5822211783543822544,358.0,202.0,5.150837988826815,0.7681159420289855,0.40182595182595177,0.3052631578947369,0.12179487179487182
6152652267138213180,3602.0,999.0,4.346196557468073,0.4714210802307289,0.48003813807720064,0.35035777273872515,0.14223995535714282
9032993320407723266,1351.0,461.0,4.122131754256107,0.48508430609597925,0.5545118220899473,0.4411636485580147,0.2847697585978836
7520301770873472812,130.0,92.0,5.223076923076923,0.7213114754098361,0.0,0.0,0.0
-5715266554592745669,701.0,411.0,5.12981455064194,0.7922374429223744,0.37164304493071615,0.27222222222222225,0.015334855403348554
8545647269051113523,370.0,224.0,5.15945945945946,0.7866666666666666,0.4711915729772875,0.4470830756545042,0.16000368678940105
668505019835540303,1967.0,746.0,5.004067107269954,0.5421095666394112,0.4830349138041443,0.3737490864114241,0.12573676323676328
-6727393385193911938,435.0,256.0,5.24367816091954,0.7352941176470589,0.48254664438874967,0.39411375661375664,-0.006561542745753267
7351002593233940239,2181.0,682.0,4.43191196698762,0.48601973684210525,0.4517236652236653,0.34948433919022154,0.12979407834963397
